UNIQUE_ID,Y,DS
9999_990563,0.00,2023-07-23
9999_990564,0.00,2023-07-23
9999_990569,0.00,2023-07-23
9999_990574,0.00,2023-07-23
9999_990577,0.00,2023-07-23
9999_990580,0.00,2023-07-23
9999_990581,0.00,2023-07-23
9999_990583,0.00,2023-07-23
9999_990584,0.00,2023-07-23
9999_990586,0.00,2023-07-23
9999_990587,0.00,2023-07-23
9999_990591,0.00,2023-07-23
9999_990593,0.00,2023-07-23
9999_990595,0.00,2023-07-23
9999_990599,0.00,2023-07-23
9999_990600,0.00,2023-07-23
9999_990603,0.00,2023-07-23
9999_990638,0.00,2023-07-23
9999_991021,0.00,2023-07-23
9999_992123,0.00,2023-07-23
9999_992771,0.00,2023-07-23
9999_993593,0.00,2023-07-23
9999_993626,0.00,2023-07-23
9999_993692,0.00,2023-07-23
9999_993698,0.00,2023-07-23
9999_993717,0.00,2023-07-23
9999_994005,0.00,2023-07-23
9999_994073,0.00,2023-07-23
9999_994172,0.00,2023-07-23
9999_994173,0.00,2023-07-23
9999_994176,0.00,2023-07-23
9999_994177,0.00,2023-07-23
9999_994178,0.00,2023-07-23
9999_994179,0.00,2023-07-23
9999_994183,0.00,2023-07-23
9999_994306,0.00,2023-07-23
9999_994310,0.00,2023-07-23
9999_994322,0.00,2023-07-23
9999_994323,0.00,2023-07-23
9999_994530,0.00,2023-07-23
9999_994532,0.00,2023-07-23
9999_994533,0.00,2023-07-23
9999_994534,0.00,2023-07-23
9999_994536,0.00,2023-07-23
9999_994537,0.00,2023-07-23
9999_994538,0.00,2023-07-23
9999_994578,0.00,2023-07-23
9999_994626,0.00,2023-07-23
9999_994635,0.00,2023-07-23
9999_994643,0.00,2023-07-23
9999_994653,0.00,2023-07-23
9999_994668,0.00,2023-07-23
9999_994669,0.00,2023-07-23
9999_994833,0.00,2023-07-23
9999_994940,0.00,2023-07-23
9999_994945,0.00,2023-07-23
9999_994963,0.00,2023-07-23
9999_994964,0.00,2023-07-23
9999_994970,0.00,2023-07-23
9999_994971,0.00,2023-07-23
9999_999918,0.00,2023-07-23
9999_999919,0.00,2023-07-23
9999_999920,0.00,2023-07-23
9999_999921,0.00,2023-07-23
9999_999922,0.00,2023-07-23
9999_999923,0.00,2023-07-23
9999_999951,0.00,2023-07-23
9999_999952,0.00,2023-07-23
9999_999953,0.00,2023-07-23
9999_999993,0.00,2023-07-23
9999_995139,0.00,2023-07-23
9999_995140,0.00,2023-07-23
9999_995141,0.00,2023-07-23
9999_995142,0.00,2023-07-23
9999_995143,0.00,2023-07-23
9999_995144,0.00,2023-07-23
9999_995164,0.00,2023-07-23
9999_995165,0.00,2023-07-23
9999_995180,0.00,2023-07-23
9999_995344,0.00,2023-07-23
9999_995345,0.00,2023-07-23
9999_995372,0.00,2023-07-23
9999_995381,0.00,2023-07-23
9999_995386,0.00,2023-07-23
9999_995388,0.00,2023-07-23
9999_995390,0.00,2023-07-23
9999_995392,0.00,2023-07-23
9999_995393,0.00,2023-07-23
9999_995395,0.00,2023-07-23
9999_995396,0.00,2023-07-23
9999_995397,0.00,2023-07-23
9999_995586,0.00,2023-07-23
9999_995588,0.00,2023-07-23
9999_995589,0.00,2023-07-23
9999_995590,0.00,2023-07-23
9999_995591,0.00,2023-07-23
9999_995592,0.00,2023-07-23
9999_995667,0.00,2023-07-23
9999_995735,0.00,2023-07-23
9999_995742,0.00,2023-07-23
9999_995811,0.00,2023-07-23
9999_995926,0.00,2023-07-23
9999_995960,0.00,2023-07-23
9999_996048,0.00,2023-07-23
9999_996049,0.00,2023-07-23
9999_996099,0.00,2023-07-23
9999_996057,0.00,2023-07-23
9999_996068,0.00,2023-07-23
9999_996163,0.00,2023-07-23
9999_996166,0.00,2023-07-23
9999_996167,0.00,2023-07-23
9999_996183,0.00,2023-07-23
9999_996184,0.00,2023-07-23
9999_996196,0.00,2023-07-23
9999_996197,0.00,2023-07-23
9999_996198,0.00,2023-07-23
9999_996273,0.00,2023-07-23
9999_996280,0.00,2023-07-23
9999_996311,0.00,2023-07-23
9999_996336,0.00,2023-07-23
9999_996337,0.00,2023-07-23
9999_996338,0.00,2023-07-23
9999_996342,0.00,2023-07-23
9999_996430,0.00,2023-07-23
9999_996431,0.00,2023-07-23
9999_996432,0.00,2023-07-23
9999_996437,0.00,2023-07-23
9999_996439,0.00,2023-07-23
9999_996440,0.00,2023-07-23
9999_996441,0.00,2023-07-23
9999_996442,0.00,2023-07-23
9999_996446,0.00,2023-07-23
9999_996447,0.00,2023-07-23
9999_996449,0.00,2023-07-23
9999_996462,0.00,2023-07-23
9999_996481,0.00,2023-07-23
9999_996484,0.00,2023-07-23
9999_996487,0.00,2023-07-23
9999_996488,0.00,2023-07-23
9999_996489,0.00,2023-07-23
9999_996492,0.00,2023-07-23
9999_996992,0.00,2023-07-23
9999_996993,0.00,2023-07-23
9999_996523,0.00,2023-07-23
9999_996532,0.00,2023-07-23
9999_996533,0.00,2023-07-23
9999_996538,0.00,2023-07-23
9999_996539,0.00,2023-07-23
9999_996540,0.00,2023-07-23
9999_996542,0.00,2023-07-23
9999_996549,0.00,2023-07-23
9999_996551,0.00,2023-07-23
9999_996552,0.00,2023-07-23
9999_996572,0.00,2023-07-23
9999_996575,0.00,2023-07-23
9999_996576,0.00,2023-07-23
9999_996587,0.00,2023-07-23
9999_996589,0.00,2023-07-23
9999_996661,0.00,2023-07-23
9999_996671,0.00,2023-07-23
9999_996681,0.00,2023-07-23
9999_996682,0.00,2023-07-23
9999_996684,0.00,2023-07-23
9999_996685,0.00,2023-07-23
9999_996688,0.00,2023-07-23
9999_996710,0.00,2023-07-23
9999_996730,0.00,2023-07-23
9999_996732,0.00,2023-07-23
9999_996781,0.00,2023-07-23
9999_996790,0.00,2023-07-23
9999_996812,0.00,2023-07-23
9999_996813,0.00,2023-07-23
9999_996819,0.00,2023-07-23
9999_996824,0.00,2023-07-23
9999_996890,0.00,2023-07-23
9999_996933,0.00,2023-07-23
9999_996934,0.00,2023-07-23
9999_996935,0.00,2023-07-23
9999_996936,0.00,2023-07-23
9999_996938,0.00,2023-07-23
9999_996939,0.00,2023-07-23
9999_996997,0.00,2023-07-23
9999_996998,0.00,2023-07-23
9999_996999,0.00,2023-07-23
9999_997004,0.00,2023-07-23
9999_997012,0.00,2023-07-23
9999_997015,0.00,2023-07-23
9999_997041,0.00,2023-07-23
9999_997072,0.00,2023-07-23
9999_997122,0.00,2023-07-23
9999_997166,0.00,2023-07-23
9999_997167,0.00,2023-07-23
9999_997207,0.00,2023-07-23
9999_997211,0.00,2023-07-23
9999_997257,0.00,2023-07-23
9999_997258,0.00,2023-07-23
9999_997280,0.00,2023-07-23
9999_997281,0.00,2023-07-23
9999_997296,0.00,2023-07-23
9999_997298,0.00,2023-07-23
9999_997300,0.00,2023-07-23
9999_997312,0.00,2023-07-23
9999_997318,0.00,2023-07-23
9999_997320,0.00,2023-07-23
9999_997349,0.00,2023-07-23
9999_997351,0.00,2023-07-23
9999_997374,0.00,2023-07-23
9999_997400,0.00,2023-07-23
9999_997413,0.00,2023-07-23
9999_997420,0.00,2023-07-23
9999_997426,0.00,2023-07-23
9999_997441,0.00,2023-07-23
9999_997446,0.00,2023-07-23
9999_997447,0.00,2023-07-23
9999_997448,0.00,2023-07-23
9999_997534,0.00,2023-07-23
9999_997573,0.00,2023-07-23
9999_997574,0.00,2023-07-23
9999_997660,0.00,2023-07-23
9999_997669,0.00,2023-07-23
9999_997670,0.00,2023-07-23
9999_997671,0.00,2023-07-23
9999_997677,0.00,2023-07-23
9999_997681,0.00,2023-07-23
9999_997697,0.00,2023-07-23
9999_997716,0.00,2023-07-23
9999_997724,0.00,2023-07-23
9999_997748,0.00,2023-07-23
9999_997752,0.00,2023-07-23
9999_997783,0.00,2023-07-23
9999_997808,0.00,2023-07-23
9999_997809,0.00,2023-07-23
9999_997816,0.00,2023-07-23
9999_997817,0.00,2023-07-23
9999_997857,0.00,2023-07-23
9999_997858,0.00,2023-07-23
9999_997860,0.00,2023-07-23
9999_997861,0.00,2023-07-23
9999_997862,0.00,2023-07-23
9999_997863,0.00,2023-07-23
9999_997864,0.00,2023-07-23
9999_997927,0.00,2023-07-23
9999_997928,0.00,2023-07-23
9999_997931,0.00,2023-07-23
9999_997971,0.00,2023-07-23
9999_997972,0.00,2023-07-23
9999_998037,0.00,2023-07-23
9999_998040,0.00,2023-07-23
9999_998048,0.00,2023-07-23
9999_998057,0.00,2023-07-23
9999_998072,0.00,2023-07-23
9999_998084,0.00,2023-07-23
9999_998090,0.00,2023-07-23
9999_998116,0.00,2023-07-23
9999_998118,0.00,2023-07-23
9999_998119,0.00,2023-07-23
9999_998166,0.00,2023-07-23
9999_998173,0.00,2023-07-23
9999_998188,0.00,2023-07-23
9999_998198,0.00,2023-07-23
9999_998204,0.00,2023-07-23
9999_998205,0.00,2023-07-23
9999_998207,0.00,2023-07-23
9999_998242,0.00,2023-07-23
9999_998243,0.00,2023-07-23
9999_998244,0.00,2023-07-23
9999_998261,0.00,2023-07-23
9999_998262,0.00,2023-07-23
9999_998288,0.00,2023-07-23
9999_998289,0.00,2023-07-23
9999_998328,0.00,2023-07-23
9999_998336,0.00,2023-07-23
9999_998337,0.00,2023-07-23
9999_998342,0.00,2023-07-23
9999_998344,0.00,2023-07-23
9999_998345,0.00,2023-07-23
9999_998346,0.00,2023-07-23
9999_998378,0.00,2023-07-23
9999_998379,0.00,2023-07-23
9999_998380,0.00,2023-07-23
9999_998382,0.00,2023-07-23
9999_998422,0.00,2023-07-23
9999_998423,0.00,2023-07-23
9999_998439,0.00,2023-07-23
9999_998460,0.00,2023-07-23
9999_998461,0.00,2023-07-23
9999_998468,0.00,2023-07-23
9999_998469,0.00,2023-07-23
9999_998471,0.00,2023-07-23
9999_998472,0.00,2023-07-23
9999_998474,0.00,2023-07-23
9999_998475,0.00,2023-07-23
9999_998563,0.00,2023-07-23
9999_998742,0.00,2023-07-23
9999_998794,0.00,2023-07-23
9999_998809,0.00,2023-07-23
9999_998810,0.00,2023-07-23
9999_998811,0.00,2023-07-23
9999_998816,0.00,2023-07-23
9999_996936,1080.00,2023-07-24
9999_994635,660.00,2023-07-24
9999_998166,660.00,2023-07-24
9999_990216,630.00,2023-07-24
9999_995386,540.00,2023-07-24
9999_994534,510.00,2023-07-24
9999_998422,435.60,2023-07-24
9999_990527,420.00,2023-07-24
9999_996273,409.50,2023-07-24
9999_990544,360.00,2023-07-24
9999_995180,340.00,2023-07-24
9999_994653,300.00,2023-07-24
9999_996684,294.00,2023-07-24
9999_994173,288.00,2023-07-24
9999_996934,288.00,2023-07-24
9999_997318,270.00,2023-07-24
9999_990213,269.00,2023-07-24
9999_990583,260.00,2023-07-24
9999_995667,256.00,2023-07-24
9999_994533,250.00,2023-07-24
9999_996167,240.00,2023-07-24
9999_996933,240.00,2023-07-24
9999_990523,210.00,2023-07-24
9999_995393,210.00,2023-07-24
9999_990240,200.00,2023-07-24
9999_990353,180.00,2023-07-24
9999_990548,180.00,2023-07-24
9999_999919,180.00,2023-07-24
9999_997697,180.00,2023-07-24
9999_998336,180.00,2023-07-24
9999_996730,176.00,2023-07-24
9999_990519,160.00,2023-07-24
9999_994073,160.00,2023-07-24
9999_998346,160.00,2023-07-24
9999_996184,147.00,2023-07-24
9999_990212,140.00,2023-07-24
9999_998328,128.80,2023-07-24
9999_995588,120.00,2023-07-24
9999_995392,110.00,2023-07-24
9999_997258,110.00,2023-07-24
9999_994536,100.00,2023-07-24
9999_999918,100.00,2023-07-24
9999_995742,100.00,2023-07-24
9999_997677,100.00,2023-07-24
9999_998337,100.00,2023-07-24
9999_998423,100.00,2023-07-24
9999_997166,98.00,2023-07-24
9999_994532,90.00,2023-07-24
9999_998198,87.50,2023-07-24
9999_995589,80.00,2023-07-24
9999_996048,80.00,2023-07-24
9999_990320,75.00,2023-07-24
9999_996183,70.00,2023-07-24
9999_998204,70.00,2023-07-24
9999_997374,66.00,2023-07-24
9999_990580,60.00,2023-07-24
9999_999953,60.00,2023-07-24
9999_995590,60.00,2023-07-24
9999_997573,55.00,2023-07-24
9999_998461,55.00,2023-07-24
9999_990316,50.00,2023-07-24
9999_995390,45.00,2023-07-24
9999_990231,42.00,2023-07-24
9999_990319,40.00,2023-07-24
9999_997320,37.50,2023-07-24
9999_994306,36.00,2023-07-24
9999_999951,36.00,2023-07-24
9999_996432,36.00,2023-07-24
9999_995586,20.00,2023-07-24
9999_990344,16.00,2023-07-24
9999_997413,15.00,2023-07-24
9999_994172,8.00,2023-07-24
9999_996166,6.00,2023-07-24
9999_990090,0.00,2023-07-24
9999_990091,0.00,2023-07-24
9999_990093,0.00,2023-07-24
9999_990094,0.00,2023-07-24
9999_990215,0.00,2023-07-24
9999_990217,0.00,2023-07-24
9999_990221,0.00,2023-07-24
9999_990234,0.00,2023-07-24
9999_990238,0.00,2023-07-24
9999_990239,0.00,2023-07-24
9999_990261,0.00,2023-07-24
9999_990264,0.00,2023-07-24
9999_990268,0.00,2023-07-24
9999_990280,0.00,2023-07-24
9999_990284,0.00,2023-07-24
9999_990285,0.00,2023-07-24
9999_990318,0.00,2023-07-24
9999_990328,0.00,2023-07-24
9999_990345,0.00,2023-07-24
9999_990347,0.00,2023-07-24
9999_990349,0.00,2023-07-24
9999_990515,0.00,2023-07-24
9999_990517,0.00,2023-07-24
9999_990518,0.00,2023-07-24
9999_990522,0.00,2023-07-24
9999_990537,0.00,2023-07-24
9999_990538,0.00,2023-07-24
9999_990543,0.00,2023-07-24
9999_990546,0.00,2023-07-24
9999_990549,0.00,2023-07-24
9999_990552,0.00,2023-07-24
9999_990561,0.00,2023-07-24
9999_990563,0.00,2023-07-24
9999_990564,0.00,2023-07-24
9999_990569,0.00,2023-07-24
9999_990574,0.00,2023-07-24
9999_990577,0.00,2023-07-24
9999_990581,0.00,2023-07-24
9999_990584,0.00,2023-07-24
9999_990586,0.00,2023-07-24
9999_990587,0.00,2023-07-24
9999_990591,0.00,2023-07-24
9999_990593,0.00,2023-07-24
9999_990595,0.00,2023-07-24
9999_990599,0.00,2023-07-24
9999_990600,0.00,2023-07-24
9999_990603,0.00,2023-07-24
9999_990638,0.00,2023-07-24
9999_991021,0.00,2023-07-24
9999_992123,0.00,2023-07-24
9999_992771,0.00,2023-07-24
9999_993593,0.00,2023-07-24
9999_993626,0.00,2023-07-24
9999_993692,0.00,2023-07-24
9999_993698,0.00,2023-07-24
9999_993717,0.00,2023-07-24
9999_994005,0.00,2023-07-24
9999_994176,0.00,2023-07-24
9999_994177,0.00,2023-07-24
9999_994178,0.00,2023-07-24
9999_994179,0.00,2023-07-24
9999_994183,0.00,2023-07-24
9999_994310,0.00,2023-07-24
9999_994322,0.00,2023-07-24
9999_994323,0.00,2023-07-24
9999_994530,0.00,2023-07-24
9999_994537,0.00,2023-07-24
9999_994538,0.00,2023-07-24
9999_994578,0.00,2023-07-24
9999_994626,0.00,2023-07-24
9999_994643,0.00,2023-07-24
9999_994668,0.00,2023-07-24
9999_994669,0.00,2023-07-24
9999_994833,0.00,2023-07-24
9999_994940,0.00,2023-07-24
9999_994945,0.00,2023-07-24
9999_994963,0.00,2023-07-24
9999_994964,0.00,2023-07-24
9999_994970,0.00,2023-07-24
9999_994971,0.00,2023-07-24
9999_999920,0.00,2023-07-24
9999_999921,0.00,2023-07-24
9999_999922,0.00,2023-07-24
9999_999923,0.00,2023-07-24
9999_999952,0.00,2023-07-24
9999_999993,0.00,2023-07-24
9999_995139,0.00,2023-07-24
9999_995140,0.00,2023-07-24
9999_995141,0.00,2023-07-24
9999_995142,0.00,2023-07-24
9999_995143,0.00,2023-07-24
9999_995144,0.00,2023-07-24
9999_995164,0.00,2023-07-24
9999_995165,0.00,2023-07-24
9999_995344,0.00,2023-07-24
9999_995345,0.00,2023-07-24
9999_995372,0.00,2023-07-24
9999_995381,0.00,2023-07-24
9999_995388,0.00,2023-07-24
9999_995395,0.00,2023-07-24
9999_995396,0.00,2023-07-24
9999_995397,0.00,2023-07-24
9999_995591,0.00,2023-07-24
9999_995592,0.00,2023-07-24
9999_995735,0.00,2023-07-24
9999_995811,0.00,2023-07-24
9999_995926,0.00,2023-07-24
9999_995960,0.00,2023-07-24
9999_996049,0.00,2023-07-24
9999_996099,0.00,2023-07-24
9999_996057,0.00,2023-07-24
9999_996068,0.00,2023-07-24
9999_996163,0.00,2023-07-24
9999_996196,0.00,2023-07-24
9999_996197,0.00,2023-07-24
9999_996198,0.00,2023-07-24
9999_996280,0.00,2023-07-24
9999_996311,0.00,2023-07-24
9999_996336,0.00,2023-07-24
9999_996337,0.00,2023-07-24
9999_996338,0.00,2023-07-24
9999_996342,0.00,2023-07-24
9999_996430,0.00,2023-07-24
9999_996431,0.00,2023-07-24
9999_996437,0.00,2023-07-24
9999_996439,0.00,2023-07-24
9999_996440,0.00,2023-07-24
9999_996441,0.00,2023-07-24
9999_996442,0.00,2023-07-24
9999_996446,0.00,2023-07-24
9999_996447,0.00,2023-07-24
9999_996449,0.00,2023-07-24
9999_996462,0.00,2023-07-24
9999_996481,0.00,2023-07-24
9999_996484,0.00,2023-07-24
9999_996487,0.00,2023-07-24
9999_996488,0.00,2023-07-24
9999_996489,0.00,2023-07-24
9999_996492,0.00,2023-07-24
9999_996992,0.00,2023-07-24
9999_996993,0.00,2023-07-24
9999_996523,0.00,2023-07-24
9999_996532,0.00,2023-07-24
9999_996533,0.00,2023-07-24
9999_996538,0.00,2023-07-24
9999_996539,0.00,2023-07-24
9999_996540,0.00,2023-07-24
9999_996542,0.00,2023-07-24
9999_996549,0.00,2023-07-24
9999_996551,0.00,2023-07-24
9999_996552,0.00,2023-07-24
9999_996572,0.00,2023-07-24
9999_996575,0.00,2023-07-24
9999_996576,0.00,2023-07-24
9999_996587,0.00,2023-07-24
9999_996589,0.00,2023-07-24
9999_996661,0.00,2023-07-24
9999_996671,0.00,2023-07-24
9999_996681,0.00,2023-07-24
9999_996682,0.00,2023-07-24
9999_996685,0.00,2023-07-24
9999_996688,0.00,2023-07-24
9999_996710,0.00,2023-07-24
9999_996732,0.00,2023-07-24
9999_996781,0.00,2023-07-24
9999_996790,0.00,2023-07-24
9999_996812,0.00,2023-07-24
9999_996813,0.00,2023-07-24
9999_996819,0.00,2023-07-24
9999_996824,0.00,2023-07-24
9999_996890,0.00,2023-07-24
9999_996935,0.00,2023-07-24
9999_996938,0.00,2023-07-24
9999_996939,0.00,2023-07-24
9999_996997,0.00,2023-07-24
9999_996998,0.00,2023-07-24
9999_996999,0.00,2023-07-24
9999_997004,0.00,2023-07-24
9999_997012,0.00,2023-07-24
9999_997015,0.00,2023-07-24
9999_997041,0.00,2023-07-24
9999_997072,0.00,2023-07-24
9999_997122,0.00,2023-07-24
9999_997167,0.00,2023-07-24
9999_997207,0.00,2023-07-24
9999_997211,0.00,2023-07-24
9999_997257,0.00,2023-07-24
9999_997280,0.00,2023-07-24
9999_997281,0.00,2023-07-24
9999_997296,0.00,2023-07-24
9999_997298,0.00,2023-07-24
9999_997300,0.00,2023-07-24
9999_997312,0.00,2023-07-24
9999_997349,0.00,2023-07-24
9999_997351,0.00,2023-07-24
9999_997400,0.00,2023-07-24
9999_997420,0.00,2023-07-24
9999_997426,0.00,2023-07-24
9999_997441,0.00,2023-07-24
9999_997446,0.00,2023-07-24
9999_997447,0.00,2023-07-24
9999_997448,0.00,2023-07-24
9999_997534,0.00,2023-07-24
9999_997574,0.00,2023-07-24
9999_997660,0.00,2023-07-24
9999_997669,0.00,2023-07-24
9999_997670,0.00,2023-07-24
9999_997671,0.00,2023-07-24
9999_997681,0.00,2023-07-24
9999_997716,0.00,2023-07-24
9999_997724,0.00,2023-07-24
9999_997748,0.00,2023-07-24
9999_997752,0.00,2023-07-24
9999_997783,0.00,2023-07-24
9999_997808,0.00,2023-07-24
9999_997809,0.00,2023-07-24
9999_997816,0.00,2023-07-24
9999_997817,0.00,2023-07-24
9999_997857,0.00,2023-07-24
9999_997858,0.00,2023-07-24
9999_997860,0.00,2023-07-24
9999_997861,0.00,2023-07-24
9999_997862,0.00,2023-07-24
9999_997863,0.00,2023-07-24
9999_997864,0.00,2023-07-24
9999_997927,0.00,2023-07-24
9999_997928,0.00,2023-07-24
9999_997931,0.00,2023-07-24
9999_997971,0.00,2023-07-24
9999_997972,0.00,2023-07-24
9999_998037,0.00,2023-07-24
9999_998040,0.00,2023-07-24
9999_998048,0.00,2023-07-24
9999_998057,0.00,2023-07-24
9999_998072,0.00,2023-07-24
9999_998084,0.00,2023-07-24
9999_998090,0.00,2023-07-24
9999_998116,0.00,2023-07-24
9999_998118,0.00,2023-07-24
9999_998119,0.00,2023-07-24
9999_998173,0.00,2023-07-24
9999_998188,0.00,2023-07-24
9999_998205,0.00,2023-07-24
9999_998207,0.00,2023-07-24
9999_998242,0.00,2023-07-24
9999_998243,0.00,2023-07-24
9999_998244,0.00,2023-07-24
9999_998261,0.00,2023-07-24
9999_998262,0.00,2023-07-24
9999_998288,0.00,2023-07-24
9999_998289,0.00,2023-07-24
9999_998342,0.00,2023-07-24
9999_998344,0.00,2023-07-24
9999_998345,0.00,2023-07-24
9999_998378,0.00,2023-07-24
9999_998379,0.00,2023-07-24
9999_998380,0.00,2023-07-24
9999_998382,0.00,2023-07-24
9999_998439,0.00,2023-07-24
9999_998460,0.00,2023-07-24
9999_998468,0.00,2023-07-24
9999_998469,0.00,2023-07-24
9999_998471,0.00,2023-07-24
9999_998472,0.00,2023-07-24
9999_998474,0.00,2023-07-24
9999_998475,0.00,2023-07-24
9999_998563,0.00,2023-07-24
9999_998742,0.00,2023-07-24
9999_998794,0.00,2023-07-24
9999_998809,0.00,2023-07-24
9999_998810,0.00,2023-07-24
9999_998811,0.00,2023-07-24
9999_998816,0.00,2023-07-24
9999_996167,2120.00,2023-07-25
9999_998166,990.00,2023-07-25
9999_998422,720.00,2023-07-25
9999_998288,675.00,2023-07-25
9999_996936,630.00,2023-07-25
9999_997351,510.00,2023-07-25
9999_990213,482.00,2023-07-25
9999_994173,480.00,2023-07-25
9999_994179,420.00,2023-07-25
9999_994635,420.00,2023-07-25
9999_997312,420.00,2023-07-25
9999_990216,396.90,2023-07-25
9999_996939,385.00,2023-07-25
9999_996273,360.00,2023-07-25
9999_994653,356.00,2023-07-25
9999_995392,330.00,2023-07-25
9999_994668,300.00,2023-07-25
9999_994178,220.00,2023-07-25
9999_995139,220.00,2023-07-25
9999_999919,195.00,2023-07-25
9999_998328,184.00,2023-07-25
9999_997573,165.00,2023-07-25
9999_994534,150.00,2023-07-25
9999_996184,147.00,2023-07-25
9999_996684,143.50,2023-07-25
9999_995386,135.00,2023-07-25
9999_990319,120.00,2023-07-25
9999_993717,110.00,2023-07-25
9999_990240,100.00,2023-07-25
9999_995390,68.00,2023-07-25
9999_993626,48.00,2023-07-25
9999_999922,45.00,2023-07-25
9999_997413,45.00,2023-07-25
9999_990353,24.00,2023-07-25
9999_999953,24.00,2023-07-25
9999_996432,24.00,2023-07-25
9999_990234,20.00,2023-07-25
9999_995372,17.50,2023-07-25
9999_997857,10.00,2023-07-25
9999_997448,6.00,2023-07-25
9999_997858,6.00,2023-07-25
9999_990090,0.00,2023-07-25
9999_990091,0.00,2023-07-25
9999_990093,0.00,2023-07-25
9999_990094,0.00,2023-07-25
9999_990212,0.00,2023-07-25
9999_990215,0.00,2023-07-25
9999_990217,0.00,2023-07-25
9999_990221,0.00,2023-07-25
9999_990231,0.00,2023-07-25
9999_990238,0.00,2023-07-25
9999_990239,0.00,2023-07-25
9999_990261,0.00,2023-07-25
9999_990264,0.00,2023-07-25
9999_990268,0.00,2023-07-25
9999_990280,0.00,2023-07-25
9999_990284,0.00,2023-07-25
9999_990285,0.00,2023-07-25
9999_990316,0.00,2023-07-25
9999_990318,0.00,2023-07-25
9999_990320,0.00,2023-07-25
9999_990328,0.00,2023-07-25
9999_990344,0.00,2023-07-25
9999_990345,0.00,2023-07-25
9999_990347,0.00,2023-07-25
9999_990349,0.00,2023-07-25
9999_990515,0.00,2023-07-25
9999_990517,0.00,2023-07-25
9999_990518,0.00,2023-07-25
9999_990519,0.00,2023-07-25
9999_990522,0.00,2023-07-25
9999_990523,0.00,2023-07-25
9999_990527,0.00,2023-07-25
9999_990537,0.00,2023-07-25
9999_990538,0.00,2023-07-25
9999_990543,0.00,2023-07-25
9999_990544,0.00,2023-07-25
9999_990546,0.00,2023-07-25
9999_990548,0.00,2023-07-25
9999_990549,0.00,2023-07-25
9999_990552,0.00,2023-07-25
9999_990561,0.00,2023-07-25
9999_990563,0.00,2023-07-25
9999_990564,0.00,2023-07-25
9999_990569,0.00,2023-07-25
9999_990574,0.00,2023-07-25
9999_990577,0.00,2023-07-25
9999_990580,0.00,2023-07-25
9999_990581,0.00,2023-07-25
9999_990583,0.00,2023-07-25
9999_990584,0.00,2023-07-25
9999_990586,0.00,2023-07-25
9999_990587,0.00,2023-07-25
9999_990591,0.00,2023-07-25
9999_990593,0.00,2023-07-25
9999_990595,0.00,2023-07-25
9999_990599,0.00,2023-07-25
9999_990600,0.00,2023-07-25
9999_990603,0.00,2023-07-25
9999_990638,0.00,2023-07-25
9999_991021,0.00,2023-07-25
9999_992123,0.00,2023-07-25
9999_992771,0.00,2023-07-25
9999_993593,0.00,2023-07-25
9999_993692,0.00,2023-07-25
9999_993698,0.00,2023-07-25
9999_994005,0.00,2023-07-25
9999_994073,0.00,2023-07-25
9999_994172,0.00,2023-07-25
9999_994176,0.00,2023-07-25
9999_994177,0.00,2023-07-25
9999_994183,0.00,2023-07-25
9999_994306,0.00,2023-07-25
9999_994310,0.00,2023-07-25
9999_994322,0.00,2023-07-25
9999_994323,0.00,2023-07-25
9999_994530,0.00,2023-07-25
9999_994532,0.00,2023-07-25
9999_994533,0.00,2023-07-25
9999_994536,0.00,2023-07-25
9999_994537,0.00,2023-07-25
9999_994538,0.00,2023-07-25
9999_994578,0.00,2023-07-25
9999_994626,0.00,2023-07-25
9999_994643,0.00,2023-07-25
9999_994669,0.00,2023-07-25
9999_994833,0.00,2023-07-25
9999_994940,0.00,2023-07-25
9999_994945,0.00,2023-07-25
9999_994963,0.00,2023-07-25
9999_994964,0.00,2023-07-25
9999_994970,0.00,2023-07-25
9999_994971,0.00,2023-07-25
9999_999918,0.00,2023-07-25
9999_999920,0.00,2023-07-25
9999_999921,0.00,2023-07-25
9999_999923,0.00,2023-07-25
9999_999951,0.00,2023-07-25
9999_999952,0.00,2023-07-25
9999_999993,0.00,2023-07-25
9999_995140,0.00,2023-07-25
9999_995141,0.00,2023-07-25
9999_995142,0.00,2023-07-25
9999_995143,0.00,2023-07-25
9999_995144,0.00,2023-07-25
9999_995164,0.00,2023-07-25
9999_995165,0.00,2023-07-25
9999_995180,0.00,2023-07-25
9999_995344,0.00,2023-07-25
9999_995345,0.00,2023-07-25
9999_995381,0.00,2023-07-25
9999_995388,0.00,2023-07-25
9999_995393,0.00,2023-07-25
9999_995395,0.00,2023-07-25
9999_995396,0.00,2023-07-25
9999_995397,0.00,2023-07-25
9999_995586,0.00,2023-07-25
9999_995588,0.00,2023-07-25
9999_995589,0.00,2023-07-25
9999_995590,0.00,2023-07-25
9999_995591,0.00,2023-07-25
9999_995592,0.00,2023-07-25
9999_995667,0.00,2023-07-25
9999_995735,0.00,2023-07-25
9999_995742,0.00,2023-07-25
9999_995811,0.00,2023-07-25
9999_995926,0.00,2023-07-25
9999_995960,0.00,2023-07-25
9999_996048,0.00,2023-07-25
9999_996049,0.00,2023-07-25
9999_996099,0.00,2023-07-25
9999_996057,0.00,2023-07-25
9999_996068,0.00,2023-07-25
9999_996163,0.00,2023-07-25
9999_996166,0.00,2023-07-25
9999_996183,0.00,2023-07-25
9999_996196,0.00,2023-07-25
